index,order_id,cust_id,gender,age,age_group,date,month,status,channel_,sku,category,size,qty,amount,state,ship_postal_code,b2b,year,day
1.0,171-1029312-3038738,1029312.0,Women,44.0,Adult,2022-04-12,4,Delivered,Myntra,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1.0,376.0,PUNJAB,140301.0,False,2022,12
2.0,405-2183842-2225946,2183842.0,Women,29.0,Teenager,2022-04-12,4,Delivered,Ajio,SET414-KR-NP-L,Set,L,1.0,1449.0,HARYANA,122002.0,False,2022,12
3.0,171-1641533-8921966,1641533.0,Women,67.0,Senior,2022-04-12,4,Delivered,Myntra,SET261-KR-PP-S,Set,S,1.0,453.0,WEST BENGAL,700029.0,False,2022,12
4.0,404-7490807-6300351,7490807.0,Women,20.0,Teenager,2022-04-12,4,Delivered,Amazon,SET110-KR-PP-M,Set,M,1.0,729.0,TAMIL NADU,613007.0,False,2022,12
5.0,403-9293516-4577154,9293516.0,Women,62.0,Senior,2022-04-12,4,Delivered,Myntra,JNE2294-KR-A-XXL,kurta,XXL,1.0,544.0,HARYANA,122001.0,False,2022,12
6.0,407-1298130-0368305,1298130.0,Men,49.0,Adult,2022-04-12,4,Delivered,Flipkart,JNE3797-KR-XXL,Western Dress,XXL,1.0,735.0,MAHARASHTRA,416436.0,False,2022,12
7.0,407-1298130-0368305,1298130.0,Women,23.0,Teenager,2022-04-12,4,Delivered,Meesho,JNE3801-KR-XXL,kurta,XXL,1.0,735.0,KARNATAKA,560029.0,False,2022,12
8.0,171-5561216-3398711,5561216.0,Women,70.0,Senior,2022-04-12,4,Delivered,Others,JNE3405-KR-M,kurta,M,1.0,435.0,HARYANA,122001.0,False,2022,12
9.0,408-2935263-2935550,2935263.0,Women,75.0,Senior,2022-04-12,4,Delivered,Amazon,JNE3474-KR-E-XL,kurta,XL,1.0,385.0,KARNATAKA,562149.0,False,2022,12
10.0,404-2648970-9042715,2648970.0,Women,43.0,Adult,2022-04-12,4,Delivered,Myntra,JNE3466-KR-L,kurta,L,1.0,771.0,ANDHRA PRADESH,520002.0,False,2022,12
11.0,404-2648970-9042715,2648970.0,Women,76.0,Senior,2022-04-12,4,Delivered,Amazon,JNE3795-KR-S,kurta,S,1.0,517.0,KERALA,695018.0,False,2022,12
12.0,404-2648970-9042715,2648970.0,Women,45.0,Adult,2022-04-12,4,Delivered,Myntra,J0181-TP-M,Top,M,1.0,399.0,TAMIL NADU,631003.0,False,2022,12
13.0,408-0265357-4939534,265357.0,Women,18.0,Teenager,2022-04-12,4,Delivered,Amazon,SET217-KR-PP-XL,Set,XL,1.0,786.0,ASSAM,781017.0,False,2022,12
14.0,403-9268874-7296313,9268874.0,Men,44.0,Adult,2022-04-12,4,Delivered,Myntra,SET185-KR-NP-M,Set,M,1.0,911.0,KARNATAKA,562125.0,False,2022,12
15.0,407-0442660-2736366,442660.0,Women,52.0,Senior,2022-04-12,4,Delivered,Amazon,SET333-KR-DPT-M,Set,M,1.0,967.0,TELANGANA,500098.0,False,2022,12
16.0,406-7482261-1657136,7482261.0,Women,18.0,Teenager,2022-04-12,4,Delivered,Nalli,J0124-TP-L,Top,L,1.0,523.0,DELHI,110062.0,False,2022,12
17.0,407-7039962-7080347,7039962.0,Men,30.0,Adult,2022-04-12,4,Delivered,Meesho,SET304-KR-DPT-XL,Set,XL,1.0,1115.0,ODISHA,751022.0,False,2022,12
18.0,407-3422488-7373923,3422488.0,Women,48.0,Adult,2022-04-12,4,Delivered,Others,SET184-KR-PP-XS,Set,XS,1.0,563.0,RAJASTHAN,307001.0,False,2022,12
19.0,171-8974687-6745940,8974687.0,Men,24.0,Teenager,2022-04-12,4,Delivered,Myntra,J0161-DR-XXL,Western Dress,XXL,1.0,473.0,MAHARASHTRA,400097.0,False,2022,12
20.0,406-0244536-2177175,244536.0,Women,46.0,Adult,2022-04-12,4,Delivered,Amazon,SET233-KR-PP-M,Set,M,1.0,545.0,PUNJAB,143001.0,False,2022,12
21.0,404-4376789-3345166,4376789.0,Women,43.0,Adult,2022-04-12,4,Delivered,Nalli,J0231-SKD-XXXL,Set,3XL,1.0,1164.0,UTTAR PRADESH,226024.0,False,2022,12
22.0,408-1943310-9789160,1943310.0,Men,31.0,Adult,2022-04-12,4,Refunded,Myntra,J0339-DR-XXL,Western Dress,XXL,1.0,743.0,DELHI,110087.0,False,2022,12
23.0,403-0950590-5005155,950590.0,Men,30.0,Adult,2022-04-12,4,Delivered,Myntra,SET210-KR-PP-XXXL,Set,3XL,1.0,575.0,TAMIL NADU,625014.0,False,2022,12
24.0,406-3935670-5720350,3935670.0,Women,19.0,Teenager,2022-04-12,4,Delivered,Ajio,SET110-KR-PP-XS,Set,XS,1.0,788.0,UTTAR PRADESH,250002.0,False,2022,12
25.0,402-0398999-0011565,398999.0,Women,37.0,Adult,2022-04-12,4,Delivered,Amazon,SET273-KR-NP-M,Set,M,1.0,612.0,TELANGANA,500060.0,False,2022,12
26.0,403-5438780-7231546,5438780.0,Women,37.0,Adult,2022-04-12,4,Delivered,Others,MEN5025-KR-XXL,kurta,XXL,1.0,533.0,MADHYA PRADESH,452014.0,False,2022,12
27.0,406-8343960-8137102,8343960.0,Women,62.0,Senior,2022-04-12,4,Delivered,Flipkart,JNE3690-TU-XL,Top,XL,1.0,484.0,KARNATAKA,577004.0,False,2022,12
28.0,406-0986513-0498758,986513.0,Men,20.0,Teenager,2022-04-12,4,Delivered,Flipkart,SET184-KR-PP-XXXL,Set,3XL,1.0,563.0,UTTARAKHAND,263153.0,False,2022,12
29.0,406-0947452-6044339,947452.0,Men,77.0,Senior,2022-04-12,4,Delivered,Flipkart,JNE3797-KR-XXL,Western Dress,XXL,1.0,735.0,TAMIL NADU,600103.0,False,2022,12
30.0,406-1326018-3426760,1326018.0,Men,26.0,Teenager,2022-04-12,4,Delivered,Amazon,SET183-KR-DH-XS,Set,XS,1.0,759.0,UTTAR PRADESH,230304.0,False,2022,12
31.0,406-9281717-2212317,9281717.0,Men,40.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3797-KR-XXL,Western Dress,XXL,1.0,715.0,ANDAMAN & NICOBAR ,744302.0,False,2022,12
32.0,408-6866119-6793128,6866119.0,Men,52.0,Senior,2022-04-12,4,Delivered,Amazon,J0414-DR-XXL,Western Dress,XXL,1.0,885.0,GUJARAT,380058.0,False,2022,12
33.0,403-9400852-1350710,9400852.0,Women,38.0,Adult,2022-04-12,4,Delivered,Others,JNE3601-KR-M,kurta,M,1.0,301.0,TAMIL NADU,636007.0,False,2022,12
34.0,408-2606836-0473931,2606836.0,Men,39.0,Adult,2022-04-12,4,Delivered,Myntra,J0231-SKD-XL,Set,XL,1.0,1238.0,ASSAM,781020.0,False,2022,12
35.0,405-8481179-1130753,8481179.0,Men,37.0,Adult,2022-04-12,4,Delivered,Amazon,SET320-KR-NP-S,Set,S,1.0,856.0,TAMIL NADU,600119.0,False,2022,12
36.0,406-9686095-5057139,9686095.0,Women,73.0,Senior,2022-04-12,4,Delivered,Flipkart,J0351-SET-L,Set,L,1.0,650.0,GUJARAT,390021.0,False,2022,12
37.0,404-9033015-7527503,9033015.0,Women,41.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3368-KR-XL,kurta,XL,1.0,449.0,KERALA,670309.0,False,2022,12
38.0,402-6932218-7744338,6932218.0,Women,41.0,Adult,2022-04-12,4,Delivered,Myntra,SET333-KR-DPT-XS,Set,XS,1.0,967.0,CHANDIGARH,160036.0,False,2022,12
39.0,408-8796291-5026713,8796291.0,Women,35.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3423-KR-XL,kurta,XL,1.0,399.0,HARYANA,122001.0,False,2022,12
40.0,407-9654105-3225150,9654105.0,Women,72.0,Senior,2022-04-12,4,Delivered,Flipkart,J0230-SKD-M,Set,M,1.0,969.0,PUNJAB,160062.0,False,2022,12
41.0,402-0637532-2672317,637532.0,Men,39.0,Adult,2022-04-12,4,Delivered,Flipkart,J0159-DR-L,Western Dress,L,1.0,599.0,KARNATAKA,560061.0,False,2022,12
42.0,402-0637532-2672317,637532.0,Women,39.0,Adult,2022-04-12,4,Delivered,Amazon,J0334-TP-S,Top,S,1.0,545.0,MAHARASHTRA,411051.0,False,2022,12
43.0,404-3393819-5081930,3393819.0,Women,44.0,Adult,2022-04-12,4,Delivered,Myntra,SET397-KR-NP-XS,Set,XS,1.0,1115.0,MAHARASHTRA,412207.0,False,2022,12
44.0,406-5673590-1054739,5673590.0,Women,22.0,Teenager,2022-04-12,4,Delivered,Meesho,SET389-KR-NP-XL,Set,XL,1.0,648.0,HARYANA,131001.0,False,2022,12
45.0,403-5846829-5098742,5846829.0,Women,64.0,Senior,2022-04-12,4,Delivered,Flipkart,J0248-KR-DPT-S,Set,S,1.0,999.0,ANDHRA PRADESH,524002.0,False,2022,12
46.0,171-4087298-3807569,4087298.0,Women,30.0,Adult,2022-04-12,4,Delivered,Amazon,NW001-TP-PJ-XXL,Set,XXL,1.0,563.0,TAMIL NADU,620101.0,False,2022,12
47.0,408-7694743-7590732,7694743.0,Women,46.0,Adult,2022-04-12,4,Delivered,Myntra,J0092-SET-S,Set,S,1.0,833.0,KARNATAKA,562107.0,False,2022,12
48.0,406-8068610-1108329,8068610.0,Women,48.0,Adult,2022-04-12,4,Delivered,Nalli,JNE3770-KR-S,kurta,S,1.0,487.0,MAHARASHTRA,411014.0,False,2022,12
49.0,171-7917674-9759550,7917674.0,Women,25.0,Teenager,2022-04-12,4,Delivered,Myntra,JNE3703-KR-M,kurta,M,1.0,292.0,UTTAR PRADESH,221010.0,False,2022,12
50.0,406-2709798-4585159,2709798.0,Men,35.0,Adult,2022-04-12,4,Delivered,Others,SET210-KR-PP-M,Set,M,1.0,558.0,KARNATAKA,574118.0,False,2022,12
51.0,405-4213846-6141157,4213846.0,Women,27.0,Teenager,2022-04-12,4,Delivered,Amazon,J0003-SET-M,Set,M,1.0,664.0,TELANGANA,500039.0,False,2022,12
52.0,407-7381557-9088310,7381557.0,Women,21.0,Teenager,2022-04-12,4,Delivered,Others,J0230-SKD-M,Set,M,1.0,1112.0,UTTAR PRADESH,211001.0,False,2022,12
53.0,403-0817885-3061963,817885.0,Women,43.0,Adult,2022-04-12,4,Delivered,Others,J0113-TP-S,Top,S,1.0,540.0,DELHI,110017.0,False,2022,12
54.0,171-2439278-5433152,2439278.0,Men,39.0,Adult,2022-04-12,4,Delivered,Myntra,SET268-KR-NP-XS,Set,XS,1.0,698.0,UTTAR PRADESH,272175.0,False,2022,12
55.0,405-8874360-4913961,8874360.0,Men,23.0,Teenager,2022-04-12,4,Delivered,Others,J0004-SKD-XXL,Set,XXL,1.0,1115.0,DELHI,110016.0,False,2022,12
56.0,408-4675134-5301129,4675134.0,Women,58.0,Senior,2022-04-12,4,Delivered,Meesho,SET209-KR-PP-XXL,Set,XXL,1.0,507.0,TELANGANA,500008.0,False,2022,12
57.0,402-9907523-6175562,9907523.0,Men,27.0,Teenager,2022-04-12,4,Delivered,Amazon,SET343-KR-NP-XS,Set,XS,1.0,916.0,UTTAR PRADESH,228001.0,False,2022,12
58.0,402-9907523-6175562,9907523.0,Women,38.0,Adult,2022-04-12,4,Delivered,Amazon,SAR008,Saree,Free,1.0,737.0,MADHYA PRADESH,483501.0,False,2022,12
59.0,407-7643005-7856329,7643005.0,Men,75.0,Senior,2022-04-12,4,Delivered,Flipkart,SET402-KR-NP-XXXL,Set,3XL,1.0,988.0,MAHARASHTRA,400063.0,False,2022,12
60.0,407-0381223-7065145,381223.0,Men,47.0,Adult,2022-04-12,4,Delivered,Meesho,J0095-SET-XL,Set,XL,1.0,633.0,TAMIL NADU,600066.0,False,2022,12
61.0,407-8538186-6616316,8538186.0,Women,62.0,Senior,2022-04-12,4,Delivered,Amazon,SET348-KR-NP-M,Set,M,1.0,899.0,HARYANA,123029.0,False,2022,12
62.0,403-1785530-0119510,1785530.0,Women,42.0,Adult,2022-04-12,4,Delivered,Amazon,PJNE2100-KR-N-6XL,kurta,6XL,1.0,764.0,KARNATAKA,560103.0,False,2022,12
63.0,403-0824767-1871567,824767.0,Women,34.0,Adult,2022-04-12,4,Delivered,Others,MEN5004-KR-XXXL,kurta,3XL,1.0,688.0,TAMIL NADU,600061.0,False,2022,12
64.0,404-8169153-4411563,8169153.0,Women,20.0,Teenager,2022-04-12,4,Delivered,Amazon,JNE3567-KR-L,kurta,L,1.0,399.0,KARNATAKA,560054.0,False,2022,12
65.0,406-5169174-3536336,5169174.0,Women,44.0,Adult,2022-04-12,4,Cancelled,Myntra,JNE3568-KR-XL,kurta,XL,1.0,399.0,MAHARASHTRA,421306.0,False,2022,12
66.0,402-2130722-4734768,2130722.0,Women,24.0,Teenager,2022-04-12,4,Delivered,Myntra,J0090-TP-S,Top,S,1.0,563.0,GUJARAT,382470.0,False,2022,12
67.0,404-8399604-8880365,8399604.0,Women,31.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3461-KR-XL,kurta,XL,1.0,363.0,WEST BENGAL,700028.0,False,2022,12
68.0,403-8213196-3804353,8213196.0,Men,75.0,Senior,2022-04-12,4,Delivered,Myntra,SET218-KR-NP-S,Set,S,1.0,667.0,JHARKHAND,827001.0,False,2022,12
69.0,408-3286680-0659521,3286680.0,Women,46.0,Adult,2022-04-12,4,Delivered,Myntra,SAR006,Saree,Free,1.0,685.0,HARYANA,134116.0,False,2022,12
70.0,403-6014983-8111514,6014983.0,Men,48.0,Adult,2022-04-12,4,Delivered,Myntra,SET272-KR-PP-S,Set,S,1.0,852.0,MAHARASHTRA,411021.0,False,2022,12
71.0,403-6950860-5590722,6950860.0,Women,26.0,Teenager,2022-04-12,4,Delivered,Amazon,SAR018,Saree,Free,1.0,1075.0,BIHAR,801113.0,False,2022,12
72.0,406-7030051-2742704,7030051.0,Women,36.0,Adult,2022-04-12,4,Delivered,Myntra,J0094-KR-XXL,kurta,XXL,1.0,563.0,DELHI,110084.0,False,2022,12
73.0,404-6041386-2803516,6041386.0,Men,23.0,Teenager,2022-04-12,4,Delivered,Flipkart,J0283-SET-XXL,Set,XXL,1.0,1072.0,MAHARASHTRA,421201.0,False,2022,12
74.0,404-7958450-6860328,7958450.0,Men,32.0,Adult,2022-04-12,4,Delivered,Amazon,SET339-KR-NP-XS,Set,XS,1.0,702.0,KARNATAKA,560095.0,False,2022,12
75.0,408-7814128-2203552,7814128.0,Women,26.0,Teenager,2022-04-12,4,Delivered,Nalli,SAR003,Saree,Free,1.0,476.0,MAHARASHTRA,400705.0,False,2022,12
76.0,403-9793483-6877106,9793483.0,Men,45.0,Adult,2022-04-12,4,Delivered,Myntra,SET324-KR-NP-XL,Set,XL,1.0,597.0,KARNATAKA,560021.0,False,2022,12
77.0,402-5297818-3665137,5297818.0,Women,49.0,Adult,2022-04-12,4,Delivered,Flipkart,SET403-KR-NP-XL,Set,XL,1.0,969.0,KERALA,695141.0,False,2022,12
78.0,171-2070545-3786767,2070545.0,Women,21.0,Teenager,2022-04-12,4,Delivered,Flipkart,J0349-SET-XS,Set,XS,1.0,801.0,RAJASTHAN,334001.0,False,2022,12
79.0,406-1756314-4546723,1756314.0,Women,39.0,Adult,2022-04-12,4,Delivered,Myntra,JNE3560-KR-XL,kurta,XL,1.0,481.0,HARYANA,122001.0,False,2022,12
80.0,404-8786932-9447520,8786932.0,Men,55.0,Senior,2022-04-12,4,Delivered,Ajio,NW034-TP-PJ-M,Set,M,1.0,595.0,GUJARAT,392001.0,False,2022,12
81.0,408-8573929-1921943,8573929.0,Women,30.0,Adult,2022-04-12,4,Delivered,Flipkart,JNE3518-KR-XXL,kurta,XXL,1.0,458.0,MAHARASHTRA,400097.0,False,2022,12
82.0,408-8573929-1921943,8573929.0,Women,46.0,Adult,2022-04-12,4,Delivered,Amazon,JNE3160-KR-M,kurta,M,1.0,729.0,WEST BENGAL,700082.0,False,2022,12
83.0,407-8980704-1408352,8980704.0,Women,59.0,Senior,2022-04-12,4,Cancelled,Myntra,JNE3487-KR-M,kurta,M,1.0,345.0,UTTAR PRADESH,201304.0,False,2022,12
84.0,171-2516658-6849136,2516658.0,Women,55.0,Senior,2022-04-12,4,Delivered,Flipkart,JNE3560-KR-M,kurta,M,1.0,481.0,TAMIL NADU,600077.0,False,2022,12
